dimension,data_type,algorithm,time_spent,trial_id
100,double,IJ,5e-05,2
100,double,JI,6e-05,2
100,float,IJ,4e-05,2
100,float,JI,4e-05,2
200,double,IJ,0.00021,2
200,double,JI,0.00024,2
200,float,IJ,0.00015,2
200,float,JI,0.00018,2
400,double,IJ,0.00084,2
400,double,JI,0.00133,2
400,float,IJ,0.00065,2
400,float,JI,0.00083,2
500,double,IJ,0.00133,2
500,double,JI,0.00258,2
500,float,IJ,0.00107,2
500,float,JI,0.00151,2
800,double,IJ,0.00375,2
800,double,JI,0.0107,2
800,float,IJ,0.0027,2
800,float,JI,0.00726,2
1000,double,IJ,0.00624,2
1000,double,JI,0.01858,2
1000,float,IJ,0.00497,2
1000,float,JI,0.01404,2
2000,double,IJ,0.04257,2
2000,double,JI,0.132,2
2000,float,IJ,0.01795,2
2000,float,JI,0.06053,2
