dimension, data_type, algorithm, time_spent, trial_id
250, double, IJK, 0.075755, 0
250, double, JIK, 0.048251, 0
250, double, KIJ, 0.047952, 0
250, double, IKJ, 0.048114, 0
250, double, JKI, 0.069688, 0
250, double, KJI, 0.066755, 0
250, float, IJK, 0.045173, 0
250, float, JIK, 0.042702, 0
250, float, KIJ, 0.048112, 0
250, float, KIJ, 0.050511, 0
250, float, JKI, 0.063102, 0
250, float, KJI, 0.061396, 0
250, double, IJK, 0.053571, 1
250, double, JIK, 0.045551, 1
250, double, KIJ, 0.048318, 1
250, double, IKJ, 0.047226, 1
250, double, JKI, 0.068550, 1
250, double, KJI, 0.065829, 1
250, float, IJK, 0.046801, 1
250, float, JIK, 0.045686, 1
250, float, KIJ, 0.049391, 1
250, float, KIJ, 0.048903, 1
250, float, JKI, 0.059815, 1
250, float, KJI, 0.063139, 1
250, double, IJK, 0.053580, 2
250, double, JIK, 0.045049, 2
250, double, KIJ, 0.047408, 2
250, double, IKJ, 0.047961, 2
250, double, JKI, 0.066945, 2
250, double, KJI, 0.067354, 2
250, float, IJK, 0.044919, 2
250, float, JIK, 0.042414, 2
250, float, KIJ, 0.047274, 2
250, float, KIJ, 0.047709, 2
250, float, JKI, 0.059971, 2
250, float, KJI, 0.059494, 2
250, double, IJK, 0.053011, 3
250, double, JIK, 0.046543, 3
250, double, KIJ, 0.050242, 3
250, double, IKJ, 0.048037, 3
250, double, JKI, 0.066984, 3
250, double, KJI, 0.064601, 3
250, float, IJK, 0.046080, 3
250, float, JIK, 0.043886, 3
250, float, KIJ, 0.047856, 3
250, float, KIJ, 0.048238, 3
250, float, JKI, 0.060943, 3
250, float, KJI, 0.062932, 3
250, double, IJK, 0.058601, 4
250, double, JIK, 0.046770, 4
250, double, KIJ, 0.048860, 4
250, double, IKJ, 0.048367, 4
250, double, JKI, 0.066139, 4
250, double, KJI, 0.065636, 4
250, float, IJK, 0.045294, 4
250, float, JIK, 0.043716, 4
250, float, KIJ, 0.047880, 4
250, float, KIJ, 0.050254, 4
250, float, JKI, 0.059602, 4
250, float, KJI, 0.059467, 4
500, double, IJK, 0.437260, 0
500, double, JIK, 0.410865, 0
500, double, KIJ, 0.388675, 0
500, double, IKJ, 0.391242, 0
500, double, JKI, 0.596016, 0
500, double, KJI, 0.563658, 0
500, float, IJK, 0.410672, 0
500, float, JIK, 0.387139, 0
500, float, KIJ, 0.370863, 0
500, float, KIJ, 0.381894, 0
500, float, JKI, 0.539538, 0
500, float, KJI, 0.547480, 0
500, double, IJK, 0.440123, 1
500, double, JIK, 0.411192, 1
500, double, KIJ, 0.390209, 1
500, double, IKJ, 0.376523, 1
500, double, JKI, 0.626852, 1
500, double, KJI, 0.618436, 1
500, float, IJK, 0.433397, 1
500, float, JIK, 0.417509, 1
500, float, KIJ, 0.451014, 1
500, float, KIJ, 0.480323, 1
500, float, JKI, 0.667369, 1
500, float, KJI, 0.634392, 1
500, double, IJK, 0.512575, 2
500, double, JIK, 0.462426, 2
500, double, KIJ, 0.423033, 2
500, double, IKJ, 0.428273, 2
500, double, JKI, 0.727562, 2
500, double, KJI, 1.026558, 2
500, float, IJK, 0.602227, 2
500, float, JIK, 0.444687, 2
500, float, KIJ, 0.435606, 2
500, float, KIJ, 0.421153, 2
500, float, JKI, 0.799713, 2
500, float, KJI, 0.725744, 2
500, double, IJK, 0.595444, 3
500, double, JIK, 0.468745, 3
500, double, KIJ, 0.428022, 3
500, double, IKJ, 0.399632, 3
500, double, JKI, 0.708394, 3
500, double, KJI, 0.859949, 3
500, float, IJK, 0.471593, 3
500, float, JIK, 0.401804, 3
500, float, KIJ, 0.398376, 3
500, float, KIJ, 0.400841, 3
500, float, JKI, 0.576603, 3
500, float, KJI, 0.564486, 3
500, double, IJK, 0.508292, 4
500, double, JIK, 0.432242, 4
500, double, KIJ, 0.431052, 4
500, double, IKJ, 0.414436, 4
500, double, JKI, 0.940166, 4
500, double, KJI, 1.016034, 4
500, float, IJK, 0.511738, 4
500, float, JIK, 0.532349, 4
500, float, KIJ, 0.444171, 4
