dimension, data_type, algorithm, time_spent
100, double, IJ,8e-05
100, double, IJK,0.00481
100, double, IKJ,0.00368
100, double, JI,6e-05
100, double, JIK,0.00411
100, double, JKI,0.00379
100, double, KIJ,0.00392
100, double, KJI,0.00354
100, float, IJ,4e-05
100, float, IJK,0.00283
100, float, JI,4e-05
100, float, JIK,0.00306
100, float, JKI,0.00346
100, float, KIJ,0.00311
100, float, KJI,0.00322
200, double, IJ,0.00024
200, double, IJK,0.02578
200, double, IKJ,0.02814
200, double, JI,0.00036
200, double, JIK,0.02587
200, double, JKI,0.03615
200, double, KIJ,0.02823
200, double, KJI,0.03422
200, float, IJ,0.0002
200, float, IJK,0.02345
200, float, JI,0.00021
200, float, JIK,0.02419
200, float, JKI,0.02907
200, float, KIJ,0.02682
200, float, KJI,0.02918
400, double, IJ,0.00098
400, double, IJK,0.23433
400, double, IKJ,0.20648
400, double, JI,0.00179
400, double, JIK,0.22411
400, double, JKI,0.3122
400, double, KIJ,0.19618
400, double, KJI,0.31841
400, float, IJ,0.0007
400, float, IJK,0.19578
400, float, JI,0.00096
400, float, JIK,0.19566
400, float, JKI,0.2757
400, float, KIJ,0.19809
400, float, KJI,0.26883
500, double, IJ,0.00162
500, double, IJK,0.45852
500, double, IKJ,0.39093
500, double, JI,0.00272
500, double, JIK,0.40473
500, double, JKI,0.63153
500, double, KIJ,0.38374
500, double, KJI,0.60284
500, float, IJ,0.0011
500, float, IJK,0.40193
500, float, JI,0.00173
500, float, JIK,0.38675
500, float, JKI,0.54754
500, float, KIJ,0.36769
500, float, KJI,0.53821
800, double, IJ,0.00389
800, double, IJK,2.48031
800, double, IKJ,1.67896
800, double, JI,0.01041
800, double, JIK,2.35842
800, double, JKI,4.18849
800, double, KIJ,1.6329
800, double, KJI,4.23141
800, float, IJ,0.00265
800, float, IJK,1.83384
800, float, JI,0.00743
800, float, JIK,1.82448
800, float, JKI,2.59031
800, float, KIJ,1.5295
800, float, KJI,2.60348
1000, double, IJ,0.00577
1000, double, IJK,5.19429
1000, double, IKJ,3.54298
1000, double, JI,0.01624
1000, double, JIK,4.06223
1000, double, JKI,9.82383
1000, double, KIJ,3.33831
1000, double, KJI,9.44181
1000, float, IJ,0.00441
1000, float, IJK,3.81221
1000, float, JI,0.01427
1000, float, JIK,3.5043
1000, float, JKI,9.60061
1000, float, KIJ,3.08281
1000, float, KJI,8.50918
2000, double, IJ,0.02458
2000, double, IJK,51.64439
2000, double, IKJ,27.97774
2000, double, JI,0.07931
2000, double, JIK,48.74935
2000, double, JKI,90.47083
2000, double, KIJ,28.01
2000, double, KJI,88.72806
2000, float, IJ,0.01852
2000, float, IJK,44.92742
2000, float, JI,0.06086
2000, float, JIK,40.44077
2000, float, JKI,81.6803
2000, float, KIJ,26.01217
2000, float, KJI,77.12445
