dimension,data_type,algorithm,time_spent,trial_id
100,double,IJK,0.00283,2
100,double,IKJ,0.00307,2
100,double,JIK,0.00257,2
100,double,JKI,0.00313,2
100,double,KIJ,0.00293,2
100,double,KJI,0.00307,2
100,float,IJK,0.00266,2
100,float,IKJ,0.00286,2
100,float,JIK,0.00282,2
100,float,JKI,0.0029,2
100,float,KIJ,0.00284,2
100,float,KJI,0.0029,2
200,double,IJK,0.02237,2
200,double,IKJ,0.02305,2
200,double,JIK,0.02154,2
200,double,JKI,0.02891,2
200,double,KIJ,0.02215,2
200,double,KJI,0.0283,2
200,float,IJK,0.02007,2
200,float,IKJ,0.02223,2
200,float,JIK,0.02016,2
200,float,JKI,0.02532,2
200,float,KIJ,0.02206,2
200,float,KJI,0.02478,2
400,double,IJK,0.19687,2
400,double,IKJ,0.18515,2
400,double,JIK,0.19055,2
400,double,JKI,0.26187,2
400,double,KIJ,0.18094,2
400,double,KJI,0.2558,2
400,float,IJK,0.17217,2
400,float,IKJ,0.17513,2
400,float,JIK,0.16934,2
400,float,JKI,0.25589,2
400,float,KIJ,0.1765,2
400,float,KJI,0.24789,2
500,double,IJK,0.44323,2
500,double,IKJ,0.37247,2
500,double,JIK,0.37926,2
500,double,JKI,0.52627,2
500,double,KIJ,0.36441,2
500,double,KJI,0.55232,2
500,float,IJK,0.39868,2
500,float,IKJ,0.35165,2
500,float,JIK,0.36072,2
500,float,JKI,0.5,2
500,float,KIJ,0.3437,2
500,float,KJI,0.50478,2
800,double,IJK,1.83978,2
800,double,IKJ,1.75623,2
800,double,JIK,1.71823,2
800,double,JKI,3.97944,2
800,double,KIJ,1.55088,2
800,double,KJI,3.96724,2
800,float,IJK,1.69216,2
800,float,IKJ,1.70678,2
800,float,JIK,1.74771,2
800,float,JKI,2.37494,2
800,float,KIJ,1.66253,2
800,float,KJI,2.32338,2
1000,double,IJK,5.44029,2
1000,double,IKJ,3.80151,2
1000,double,JIK,4.18237,2
1000,double,JKI,10.43866,2
1000,double,KIJ,3.55583,2
1000,double,KJI,10.22073,2
1000,float,IJK,4.4928,2
1000,float,IKJ,3.70287,2
1000,float,JIK,3.67324,2
1000,float,JKI,10.08085,2
1000,float,KIJ,3.56705,2
1000,float,KJI,8.98245,2
2000,double,IJK,52.85725,2
2000,double,IKJ,32.24497,2
2000,double,JIK,48.76451,2
2000,double,JKI,92.98834,2
2000,double,KIJ,30.43527,2
2000,double,KJI,88.64741,2
2000,float,IJK,45.36035,2
2000,float,IKJ,29.1917,2
2000,float,JIK,40.77639,2
2000,float,JKI,83.7003,2
2000,float,KIJ,28.80817,2
2000,float,KJI,79.6683,2
